city,province
Yulin Shaanxi,陕西省
Yan'an,陕西省
Jincheng,山西省
Datong,山西省
Linfen,山西省
Yuncheng,山西省
Yangquan,山西省
Changzhi,山西省
Qiqihar,黑龙江省
Daqing,黑龙江省
Jiamusi,黑龙江省
Mudanjiang,黑龙江省
Jixi,黑龙江省
Yichun Heilongjiang,黑龙江省
Anshan,辽宁省
Fushun,辽宁省
Benxi,辽宁省
Dandong,辽宁省
Jinzhou,辽宁省
Yingkou,辽宁省
Panjin,辽宁省
Huludao,辽宁省
Baicheng,吉林省
Jilin City,吉林省
Siping,吉林省
Songyuan,吉林省
Liaoyuan,吉林省
Tonghua,吉林省
Baishan,吉林省
Jilin,吉林省
Tongliao,内蒙古自治区
Chifeng,内蒙古自治区
Ordos,内蒙古自治区
Bayannur,内蒙古自治区
Wuhai,内蒙古自治区
Alxa,内蒙古自治区
Wuwei,甘肃省
Tianshui,甘肃省
Jiuquan,甘肃省
Zhangye,甘肃省
Qingyang,甘肃省
Pingliang,甘肃省
Shihezi,新疆维吾尔自治区
Karamay,新疆维吾尔自治区
Turpan,新疆维吾尔自治区
Hami,新疆维吾尔自治区
Dali,云南省
Qujing,云南省
Yuxi,云南省
Baoshan,云南省
Lijiang,云南省
Pu'er,云南省
Honghe,云南省
Xishuangbanna,云南省
Wenshan,云南省
Dehong,云南省
Xingtai,河北省
Zhangjiakou,河北省
Chengde,河北省
Cangzhou,河北省
Xiaogan,湖北省
Huangshi,湖北省
Xianning,湖北省
Ezhou,湖北省
Chenzhou,湖南省
Yueyang,湖南省
Changde,湖南省
Luohe,河南省
Jiaozuo,河南省
Hebi,河南省
Puyang,河南省
Suqian,江苏省
Huaian Jiangsu,江苏省
Datong,山西省
Changzhi,山西省
Jincheng,山西省
Linfen,山西省
Yuncheng,山西省
Yangquan,山西省
Jinzhong,山西省
Xuzhou,江苏省
Suqian,江苏省
Lianyungang,江苏省
Yancheng,江苏省
Yangzhou,江苏省
Zhenjiang,江苏省
Changzhou,江苏省
Nantong,江苏省
Wuhu,安徽省
Anqing,安徽省
Maanshan,安徽省
Bengbu,安徽省
Fuyang,安徽省
Huangshan,安徽省
Xuancheng,安徽省
Chizhou,安徽省
Tongling,安徽省
Huainan,安徽省
Jiangmen,广东省
Huizhou,广东省
Zhaoqing,广东省
Shantou,广东省
Zhanjiang,广东省
Maoming,广东省
Qingyuan,广东省
Shaoguan,广东省
Yangjiang,广东省
Heyuan,广东省
Jieyang,广东省
