city,longitude,latitude
抚州,116.6812,28.9528
莆田,120.4953,25.5879
龙岩,120.3048,25.9611
三明,118.6716,25.3863
宁德,118.3437,25.3907
漳州,118.8747,26.8599
泉州,119.4739,25.5193
南平,119.3316,25.3784
宝鸡,108.0759,34.8603
咸阳,108.1177,35.1609
渭南,108.8076,33.9543
汉中,108.235,34.2806
安康,107.9143,35.2298
榆林,108.2715,34.8505
延安,108.8933,33.6643
晋城,113.5667,36.8876
大同,111.7633,38.0188
临汾,111.5039,38.6927
运城,112.7111,37.4507
阳泉,112.3286,37.988
长治,111.4252,38.0973
齐齐哈尔,126.1033,46.1569
大庆,126.4102,46.6154
佳木斯,126.905,45.0632
牡丹江,125.7578,46.6202
鸡西,125.6499,45.5717
伊春,126.2743,45.7201
鞍山,122.6924,41.9445
抚顺,122.3367,42.7905
本溪,123.4432,41.147
丹东,123.1109,42.6329
锦州,123.9103,41.3781
营口,123.2263,41.4325
盘锦,122.5452,42.5801
葫芦岛,123.695,41.1132
白城,125.3567,44.6249
吉林市,125.4195,43.8903
四平,125.2234,44.6021
松原,126.0722,44.052
辽源,124.829,43.212
通化,124.752,43.5328
白山,125.8073,44.5334
吉林,125.3332,43.157
通辽,111.045,40.7806
赤峰,112.6475,41.1318
鄂尔多斯,111.9983,39.8966
巴彦淖尔,112.3063,40.9229
乌海,112.193,40.9429
阿拉善,111.9117,40.0173
武威,104.1903,35.3645
天水,103.9634,35.9504
酒泉,103.6306,36.3343
张掖,103.262,35.7728
庆阳,102.8837,36.5838
平凉,104.989,35.7545
石河子,88.5207,43.411
克拉玛依,87.3334,43.9422
吐鲁番,86.7266,44.1286
哈密,87.6589,43.8925
大理,101.6846,25.2971
曲靖,102.3395,25.8417
玉溪,103.9524,25.4346
保山,102.0289,24.2636
丽江,103.4669,25.4659
普洱,101.727,24.1373
红河,102.0924,25.0145
西双版纳,102.0169,24.0065
文山,103.7307,24.461
德宏,101.8737,24.1907
漯河,114.1114,35.5826
焦作,112.4267,34.1285
鹤壁,114.0335,35.1904
濮阳,114.5271,33.9365
宿迁,119.9753,31.5479
晋中,112.8344,37.0994
