city,year,house_price
东营,2012,9601
东营,2013,11040
东营,2014,10467
东营,2015,10015
东营,2016,11825
东营,2017,13328
东营,2018,14765
东营,2019,17567
东营,2020,19736
东营,2021,19666
东营,2022,17200
东营,2023,14828
东营,2024,12674
中山,2005,4442
中山,2006,5251
中山,2007,6249
中山,2008,5496
中山,2009,6091
中山,2010,6678
中山,2011,7196
中山,2012,7321
中山,2013,8107
中山,2014,7775
中山,2015,7994
中山,2016,10068
中山,2017,12241
中山,2018,13536
中山,2019,14738
中山,2020,15742
中山,2021,16057
中山,2022,15396
中山,2023,13754
中山,2024,12878
临汾,2005,4331
临汾,2006,5016
临汾,2007,6672
临汾,2008,6784
临汾,2009,8249
临汾,2010,9980
临汾,2011,10299
临汾,2012,10690
临汾,2013,12219
临汾,2014,11223
临汾,2015,10841
临汾,2016,12581
临汾,2017,14797
临汾,2018,16585
临汾,2019,17287
临汾,2020,17972
临汾,2021,18722
临汾,2022,17407
临汾,2023,15875
临汾,2024,13999
临沂,2005,3538
临沂,2006,3904
临沂,2007,4921
临沂,2008,4718
临沂,2009,5658
临沂,2010,6670
临沂,2011,7385
临沂,2012,7999
临沂,2013,9246
临沂,2014,7948
临沂,2015,7706
临沂,2016,9019
临沂,2017,10880
临沂,2018,11880
临沂,2019,12552
临沂,2020,12590
临沂,2021,12804
临沂,2022,11515
临沂,2023,11227
临沂,2024,11146
丹东,2005,5160
丹东,2006,5632
丹东,2007,6530
丹东,2008,6169
丹东,2009,7173
丹东,2010,7618
丹东,2011,7391
丹东,2012,7385
丹东,2013,7648
丹东,2014,7131
丹东,2015,7017
丹东,2016,8508
丹东,2017,10204
丹东,2018,10540
丹东,2019,11372
丹东,2020,12405
丹东,2021,13316
丹东,2022,13197
丹东,2023,12748
丹东,2024,12773
丽水,2005,4940
丽水,2006,5683
丽水,2007,6964
丽水,2008,6318
丽水,2009,7048
丽水,2010,8018
丽水,2011,8764
丽水,2012,8839
丽水,2013,9812
丽水,2014,8980
丽水,2015,8667
丽水,2016,10663
丽水,2017,12166
丽水,2018,12246
丽水,2019,12910
丽水,2020,13343
丽水,2021,13392
丽水,2022,11558
丽水,2023,10709
丽水,2024,10270
丽江,2005,4358
丽江,2006,4929
丽江,2007,5866
丽江,2008,5523
丽江,2009,6419
丽江,2010,7012
丽江,2011,7278
丽江,2012,7834
丽江,2013,8776
丽江,2014,7944
丽江,2015,7452
丽江,2016,8704
丽江,2017,9450
丽江,2018,9176
丽江,2019,9345
丽江,2020,9633
丽江,2021,10009
丽江,2022,9417
丽江,2023,8171
丽江,2024,7553
乌海,2005,6433
乌海,2006,7088
乌海,2007,8253
乌海,2008,7750
乌海,2009,8695
乌海,2010,9230
乌海,2011,9962
乌海,2012,10065
乌海,2013,11033
乌海,2014,9762
乌海,2015,9171
乌海,2016,10640
乌海,2017,12138
乌海,2018,13562
乌海,2019,14653
乌海,2020,15675
乌海,2021,16218
乌海,2022,14997
乌海,2023,13085
乌海,2024,11492
乌鲁木齐,2005,5419
乌鲁木齐,2006,6500
乌鲁木齐,2007,8151
乌鲁木齐,2008,6751
乌鲁木齐,2009,7874
乌鲁木齐,2010,8596
乌鲁木齐,2011,8799
乌鲁木齐,2012,9137
乌鲁木齐,2013,9578
乌鲁木齐,2014,8448
乌鲁木齐,2015,7988
乌鲁木齐,2016,9444
乌鲁木齐,2017,10909
乌鲁木齐,2018,11896
乌鲁木齐,2019,12510
乌鲁木齐,2020,12574
乌鲁木齐,2021,12588
乌鲁木齐,2022,12095
乌鲁木齐,2023,11932
乌鲁木齐,2024,11568
乐山,2005,4739
乐山,2006,5364
乐山,2007,6908
乐山,2008,6932
乐山,2009,8329
乐山,2010,9827
乐山,2011,11070
乐山,2012,11190
乐山,2013,12433
乐山,2014,11761
乐山,2015,11841
乐山,2016,14580
乐山,2017,17300
乐山,2018,18380
乐山,2019,18815
乐山,2020,18315
乐山,2021,17343
乐山,2022,14980
乐山,2023,13685
乐山,2024,12810
九江,2005,4690
九江,2006,4836
九江,2007,5696
九江,2008,5387
九江,2009,6193
九江,2010,6902
九江,2011,7715
九江,2012,8239
九江,2013,9451
九江,2014,8587
九江,2015,8283
九江,2016,9848
九江,2017,11001
九江,2018,11217
九江,2019,11926
九江,2020,12364
九江,2021,12681
九江,2022,12193
九江,2023,11828
九江,2024,11038
伊春,2005,6712
伊春,2006,7797
伊春,2007,10174
伊春,2008,10051
伊春,2009,11265
伊春,2010,12163
伊春,2011,11920
伊春,2012,11148
伊春,2013,11314
伊春,2014,9830
伊春,2015,9357
伊春,2016,11116
伊春,2017,12999
伊春,2018,14033
伊春,2019,14877
伊春,2020,15049
伊春,2021,15958
伊春,2022,15678
伊春,2023,14953
伊春,2024,14356
佛山,2005,2800
佛山,2006,3047
佛山,2007,3598
佛山,2008,3709
佛山,2009,4796
佛山,2010,5656
佛山,2011,6329
佛山,2012,6543
佛山,2013,7872
佛山,2014,7511
佛山,2015,7152
佛山,2016,8814
佛山,2017,10027
佛山,2018,10227
佛山,2019,11007
佛山,2020,12197
佛山,2021,12774
佛山,2022,12031
佛山,2023,11539
佛山,2024,12113
佳木斯,2005,5454
佳木斯,2006,5698
佳木斯,2007,6355
佳木斯,2008,5752
佳木斯,2009,6716
佳木斯,2010,7567
佳木斯,2011,8106
佳木斯,2012,7970
佳木斯,2013,8795
佳木斯,2014,8283
佳木斯,2015,8112
佳木斯,2016,9525
佳木斯,2017,10667
佳木斯,2018,11187
佳木斯,2019,12253
佳木斯,2020,13626
佳木斯,2021,14510
佳木斯,2022,14025
佳木斯,2023,13503
佳木斯,2024,14582
保定,2005,3471
保定,2006,4314
保定,2007,5580
保定,2008,5848
保定,2009,6878
保定,2010,7436
保定,2011,8079
保定,2012,7867
保定,2013,8797
保定,2014,8363
保定,2015,8892
保定,2016,12523
保定,2017,14648
保定,2018,15177
保定,2019,15921
保定,2020,16520
保定,2021,16869
保定,2022,14922
保定,2023,13696
保定,2024,12869
保山,2005,4843
保山,2006,5061
保山,2007,6078
保山,2008,5706
保山,2009,6968
保山,2010,7772
保山,2011,8350
保山,2012,8519
保山,2013,9532
保山,2014,8875
保山,2015,9093
保山,2016,11777
保山,2017,13668
保山,2018,14399
保山,2019,14434
保山,2020,13680
保山,2021,13527
保山,2022,12417
保山,2023,11341
保山,2024,10590
信阳,2005,4544
信阳,2006,5138
信阳,2007,6227
信阳,2008,5944
信阳,2009,7104
信阳,2010,8323
信阳,2011,9348
信阳,2012,9983
信阳,2013,11773
信阳,2014,11476
信阳,2015,11680
信阳,2016,15232
信阳,2017,17381
信阳,2018,17687
信阳,2019,16942
信阳,2020,17036
信阳,2021,17064
信阳,2022,15696
信阳,2023,14688
信阳,2024,14164
儋州,2005,6833
儋州,2006,7621
儋州,2007,9450
儋州,2008,8860
儋州,2009,10038
儋州,2010,11027
儋州,2011,11433
儋州,2012,11358
儋州,2013,11898
儋州,2014,10630
儋州,2015,10273
儋州,2016,12093
儋州,2017,15465
儋州,2018,16528
儋州,2019,16094
儋州,2020,15410
儋州,2021,15581
儋州,2022,14362
儋州,2023,13117
儋州,2024,11844
克拉玛依,2005,6123
克拉玛依,2006,6498
克拉玛依,2007,8011
克拉玛依,2008,7803
克拉玛依,2009,8861
克拉玛依,2010,9271
克拉玛依,2011,9072
克拉玛依,2012,9375
克拉玛依,2013,10318
克拉玛依,2014,9082
克拉玛依,2015,8553
克拉玛依,2016,10304
克拉玛依,2017,11850
克拉玛依,2018,12597
克拉玛依,2019,13581
克拉玛依,2020,14264
克拉玛依,2021,13340
克拉玛依,2022,12566
克拉玛依,2023,11888
克拉玛依,2024,11042
六盘水,2005,4615
六盘水,2006,5606
六盘水,2007,7166
六盘水,2008,6946
六盘水,2009,8561
六盘水,2010,9666
六盘水,2011,9993
六盘水,2012,10119
六盘水,2013,10240
六盘水,2014,8914
六盘水,2015,8776
六盘水,2016,10368
六盘水,2017,10724
六盘水,2018,11560
六盘水,2019,12122
六盘水,2020,12544
六盘水,2021,12340
六盘水,2022,11721
六盘水,2023,10875
六盘水,2024,11035
兰州,2005,5281
兰州,2006,5864
兰州,2007,7156
兰州,2008,6447
兰州,2009,7244
兰州,2010,8058
兰州,2011,8446
兰州,2012,8774
兰州,2013,9484
兰州,2014,8357
兰州,2015,8297
兰州,2016,10240
兰州,2017,12007
兰州,2018,12489
兰州,2019,13176
兰州,2020,12849
兰州,2021,13617
兰州,2022,12934
兰州,2023,12166
兰州,2024,11880
内江,2005,4779
内江,2006,5209
内江,2007,6091
内江,2008,5573
内江,2009,6800
内江,2010,8558
内江,2011,9597
内江,2012,9993
内江,2013,10396
内江,2014,8996
内江,2015,8639
内江,2016,10452
内江,2017,12867
内江,2018,14388
内江,2019,15121
内江,2020,15388
内江,2021,15135
内江,2022,15597
内江,2023,14413
内江,2024,13762
北京,2005,6200
北京,2006,6888
北京,2007,8681
北京,2008,8109
北京,2009,10140
北京,2010,12299
北京,2011,14231
北京,2012,17085
北京,2013,21051
北京,2014,22601
北京,2015,25070
北京,2016,31069
北京,2017,34916
北京,2018,35340
北京,2019,38064
北京,2020,41325
北京,2021,44088
北京,2022,45543
北京,2023,46989
北京,2024,48492
北海,2005,5090
北海,2006,5536
北海,2007,6304
北海,2008,5679
北海,2009,6715
北海,2010,7433
北海,2011,8358
北海,2012,8928
北海,2013,10454
北海,2014,9427
北海,2015,9014
北海,2016,10544
北海,2017,12040
北海,2018,12249
北海,2019,13159
北海,2020,13537
北海,2021,12447
北海,2022,11860
北海,2023,11845
北海,2024,12063
南京,2005,4200
南京,2006,5391
南京,2007,7034
南京,2008,6921
南京,2009,8022
南京,2010,9524
南京,2011,11223
南京,2012,11825
南京,2013,13823
南京,2014,14031
南京,2015,15129
南京,2016,21076
南京,2017,26071
南京,2018,28521
南京,2019,33454
南京,2020,38402
南京,2021,42211
南京,2022,42675
南京,2023,41225
南京,2024,40679
南充,2005,3993
南充,2006,5084
南充,2007,6737
南充,2008,6442
南充,2009,7821
南充,2010,8409
南充,2011,8831
南充,2012,8745
南充,2013,9417
南充,2014,8512
南充,2015,8068
南充,2016,10237
南充,2017,12213
南充,2018,12371
南充,2019,13030
南充,2020,13609
南充,2021,13232
南充,2022,12460
南充,2023,12755
南充,2024,12808
南宁,2005,3555
南宁,2006,3846
南宁,2007,4813
南宁,2008,4473
南宁,2009,5012
南宁,2010,5596
南宁,2011,6227
南宁,2012,6330
南宁,2013,7235
南宁,2014,7029
南宁,2015,6682
南宁,2016,8458
南宁,2017,9967
南宁,2018,11354
南宁,2019,12706
南宁,2020,13096
南宁,2021,13633
南宁,2022,12647
南宁,2023,12230
南宁,2024,12288
南平,2005,4684
南平,2006,5631
南平,2007,7090
南平,2008,7051
南平,2009,8247
南平,2010,9584
南平,2011,10120
南平,2012,10424
南平,2013,11395
南平,2014,10765
南平,2015,10298
南平,2016,12381
南平,2017,13292
南平,2018,14329
南平,2019,14189
南平,2020,13635
南平,2021,13226
南平,2022,11483
南平,2023,10590
南平,2024,10105
南昌,2005,3794
南昌,2006,4338
南昌,2007,5423
南昌,2008,5470
南昌,2009,6573
南昌,2010,7526
南昌,2011,8059
南昌,2012,8489
南昌,2013,9605
南昌,2014,8701
南昌,2015,8251
南昌,2016,9829
南昌,2017,11116
南昌,2018,11832
南昌,2019,13177
南昌,2020,14546
南昌,2021,15129
南昌,2022,14555
南昌,2023,12977
南昌,2024,12073
南通,2005,3414
南通,2006,3864
南通,2007,5027
南通,2008,5099
南通,2009,6419
南通,2010,7423
南通,2011,7624
南通,2012,7476
南通,2013,7585
南通,2014,6619
南通,2015,6730
南通,2016,7906
南通,2017,8826
南通,2018,9718
南通,2019,10525
南通,2020,11372
南通,2021,12492
南通,2022,11832
南通,2023,11232
南通,2024,10687
南阳,2005,4102
南阳,2006,4777
南阳,2007,6406
南阳,2008,6341
南阳,2009,7986
南阳,2010,9459
南阳,2011,10060
南阳,2012,10613
南阳,2013,12209
南阳,2014,11685
南阳,2015,10974
南阳,2016,12937
南阳,2017,13652
南阳,2018,14026
南阳,2019,14575
南阳,2020,15744
南阳,2021,15590
南阳,2022,13586
南阳,2023,11954
南阳,2024,11283
厦门,2005,4800
厦门,2006,5761
厦门,2007,7318
厦门,2008,7640
厦门,2009,9676
厦门,2010,11352
厦门,2011,12330
厦门,2012,12739
厦门,2013,14242
厦门,2014,13497
厦门,2015,14113
厦门,2016,18824
厦门,2017,22375
厦门,2018,27035
厦门,2019,32019
厦门,2020,36726
厦门,2021,41903
厦门,2022,39933
厦门,2023,42509
厦门,2024,46216
台州,2005,3784
台州,2006,3920
台州,2007,4444
台州,2008,4130
台州,2009,5100
台州,2010,6105
台州,2011,6511
台州,2012,6529
台州,2013,7018
台州,2014,6505
台州,2015,6156
台州,2016,7603
台州,2017,8645
台州,2018,9563
台州,2019,11029
台州,2020,12051
台州,2021,12451
台州,2022,11210
台州,2023,10233
台州,2024,10451
台湾,2005,18083
台湾,2006,18717
台湾,2007,22680
台湾,2008,21650
台湾,2009,25430
台湾,2010,30516
台湾,2011,31942
台湾,2012,32197
台湾,2013,34775
台湾,2014,30224
台湾,2015,28399
台湾,2016,33585
台湾,2017,36980
台湾,2018,37923
台湾,2019,40414
台湾,2020,44611
台湾,2021,48355
台湾,2022,49900
台湾,2023,46852
台湾,2024,42000
合肥,2005,2300
合肥,2006,2830
合肥,2007,3586
合肥,2008,3497
合肥,2009,4413
合肥,2010,5266
合肥,2011,6085
合肥,2012,6796
合肥,2013,8769
合肥,2014,8694
合肥,2015,8874
合肥,2016,10949
合肥,2017,12530
合肥,2018,12951
合肥,2019,13134
合肥,2020,13230
合肥,2021,12823
合肥,2022,11842
合肥,2023,11479
合肥,2024,10895
吉安,2005,5399
吉安,2006,6109
吉安,2007,7602
吉安,2008,7258
吉安,2009,8352
吉安,2010,9970
吉安,2011,10590
吉安,2012,11033
吉安,2013,12131
吉安,2014,11759
吉安,2015,12129
吉安,2016,14535
吉安,2017,16529
吉安,2018,16983
吉安,2019,17886
吉安,2020,18268
吉安,2021,18202
吉安,2022,16385
吉安,2023,15218
吉安,2024,14034
吉林,2005,4421
吉林,2006,5238
吉林,2007,6640
吉林,2008,6510
吉林,2009,7849
吉林,2010,9497
吉林,2011,9544
吉林,2012,9675
吉林,2013,10715
吉林,2014,10147
吉林,2015,10492
吉林,2016,13529
吉林,2017,15256
吉林,2018,15627
吉林,2019,16486
吉林,2020,17817
吉林,2021,18765
吉林,2022,17725
吉林,2023,16405
吉林,2024,15114
吉林市,2005,4719
吉林市,2006,5542
吉林市,2007,7402
吉林市,2008,7208
吉林市,2009,8684
吉林市,2010,10226
吉林市,2011,11006
吉林市,2012,11885
吉林市,2013,13205
吉林市,2014,12316
吉林市,2015,11515
吉林市,2016,13798
吉林市,2017,14311
吉林市,2018,13891
吉林市,2019,14100
吉林市,2020,14599
吉林市,2021,15208
吉林市,2022,13580
吉林市,2023,12264
吉林市,2024,11987
吐鲁番,2005,7188
吐鲁番,2006,8623
吐鲁番,2007,11272
吐鲁番,2008,11417
吐鲁番,2009,14000
吐鲁番,2010,15984
吐鲁番,2011,16811
吐鲁番,2012,15719
吐鲁番,2013,15111
吐鲁番,2014,13006
吐鲁番,2015,11937
吐鲁番,2016,14348
吐鲁番,2017,16255
吐鲁番,2018,16523
吐鲁番,2019,16703
吐鲁番,2020,17029
吐鲁番,2021,16594
吐鲁番,2022,14835
吐鲁番,2023,13259
吐鲁番,2024,12458
周口,2005,4984
周口,2006,5619
周口,2007,6784
周口,2008,5915
周口,2009,6701
周口,2010,7650
周口,2011,7836
周口,2012,7730
周口,2013,8517
周口,2014,8001
周口,2015,8098
周口,2016,10308
周口,2017,12251
周口,2018,13174
周口,2019,14113
周口,2020,14484
周口,2021,14471
周口,2022,13761
周口,2023,13578
周口,2024,12897
呼和浩特,2005,4160
呼和浩特,2006,4698
呼和浩特,2007,5765
呼和浩特,2008,5476
呼和浩特,2009,6458
呼和浩特,2010,7378
呼和浩特,2011,7928
呼和浩特,2012,8555
呼和浩特,2013,9874
呼和浩特,2014,9089
呼和浩特,2015,8684
呼和浩特,2016,10613
呼和浩特,2017,12655
呼和浩特,2018,14623
呼和浩特,2019,16590
呼和浩特,2020,17308
呼和浩特,2021,17308
呼和浩特,2022,15438
呼和浩特,2023,13790
呼和浩特,2024,13347
咸宁,2005,5445
咸宁,2006,6029
咸宁,2007,7507
咸宁,2008,6902
咸宁,2009,7856
咸宁,2010,8804
咸宁,2011,9573
咸宁,2012,10125
咸宁,2013,11302
咸宁,2014,11149
咸宁,2015,11460
咸宁,2016,14151
咸宁,2017,16828
咸宁,2018,19510
咸宁,2019,20705
咸宁,2020,20183
咸宁,2021,18807
咸宁,2022,16306
咸宁,2023,14625
咸宁,2024,13536
咸阳,2005,4077
咸阳,2006,4564
咸阳,2007,5659
咸阳,2008,5510
咸阳,2009,6570
咸阳,2010,7494
咸阳,2011,8389
咸阳,2012,9452
咸阳,2013,10431
咸阳,2014,9615
咸阳,2015,9327
咸阳,2016,11582
咸阳,2017,13763
咸阳,2018,14054
咸阳,2019,13401
咸阳,2020,13476
咸阳,2021,13328
咸阳,2022,12582
咸阳,2023,11494
咸阳,2024,10264
哈密,2005,6957
哈密,2006,7514
哈密,2007,8870
哈密,2008,8056
哈密,2009,9857
哈密,2010,11287
哈密,2011,12740
哈密,2012,13032
哈密,2013,13803
哈密,2014,12592
哈密,2015,12168
哈密,2016,14653
哈密,2017,16098
哈密,2018,16965
哈密,2019,17138
哈密,2020,16443
哈密,2021,15497
哈密,2022,13541
哈密,2023,12262
哈密,2024,12388
哈尔滨,2005,2300
哈尔滨,2006,2868
哈尔滨,2007,3910
哈尔滨,2008,4106
哈尔滨,2009,4939
哈尔滨,2010,5868
哈尔滨,2011,6235
哈尔滨,2012,6461
哈尔滨,2013,7710
哈尔滨,2014,7062
哈尔滨,2015,7236
哈尔滨,2016,8631
哈尔滨,2017,9611
哈尔滨,2018,10420
哈尔滨,2019,11239
哈尔滨,2020,11941
哈尔滨,2021,12133
哈尔滨,2022,10947
哈尔滨,2023,10385
哈尔滨,2024,11029
唐山,2005,3751
唐山,2006,3872
唐山,2007,4581
唐山,2008,4219
唐山,2009,4910
唐山,2010,5738
唐山,2011,6478
唐山,2012,6623
唐山,2013,7455
唐山,2014,7122
唐山,2015,7267
唐山,2016,9659
唐山,2017,11965
唐山,2018,13377
唐山,2019,14368
唐山,2020,15097
唐山,2021,15184
唐山,2022,13569
唐山,2023,12906
唐山,2024,13069
商丘,2005,3857
商丘,2006,4251
商丘,2007,5001
商丘,2008,4491
商丘,2009,4896
商丘,2010,5330
商丘,2011,5610
商丘,2012,5331
商丘,2013,5698
商丘,2014,5085
商丘,2015,4800
商丘,2016,5293
商丘,2017,5897
商丘,2018,6353
商丘,2019,7184
商丘,2020,8450
商丘,2021,9692
商丘,2022,10296
商丘,2023,9907
商丘,2024,10607
嘉兴,2005,3914
嘉兴,2006,4773
嘉兴,2007,6055
嘉兴,2008,5585
嘉兴,2009,6808
嘉兴,2010,8065
嘉兴,2011,8833
嘉兴,2012,9727
嘉兴,2013,10578
嘉兴,2014,10285
嘉兴,2015,9945
嘉兴,2016,11590
嘉兴,2017,12534
嘉兴,2018,12489
嘉兴,2019,13438
嘉兴,2020,14491
嘉兴,2021,15551
嘉兴,2022,14450
嘉兴,2023,13121
嘉兴,2024,12298
四平,2005,5763
四平,2006,6078
四平,2007,7294
四平,2008,6832
四平,2009,7711
四平,2010,8326
四平,2011,8517
四平,2012,8564
四平,2013,9185
四平,2014,8298
四平,2015,8311
四平,2016,10419
四平,2017,12064
四平,2018,12438
四平,2019,12602
四平,2020,13270
四平,2021,13981
四平,2022,13083
四平,2023,11704
四平,2024,10697
大同,2005,5055
大同,2006,5379
大同,2007,6395
大同,2008,5813
大同,2009,6730
大同,2010,7597
大同,2011,8366
大同,2012,9155
大同,2013,10249
大同,2014,9757
大同,2015,9668
大同,2016,12177
大同,2017,13262
大同,2018,13735
大同,2019,14095
大同,2020,15191
大同,2021,15851
大同,2022,14456
大同,2023,13088
大同,2024,11986
大庆,2005,5896
大庆,2006,6776
大庆,2007,8340
大庆,2008,8026
大庆,2009,9844
大庆,2010,10836
大庆,2011,10671
大庆,2012,10453
大庆,2013,11093
大庆,2014,10428
大庆,2015,9381
大庆,2016,11280
大庆,2017,12290
大庆,2018,13227
大庆,2019,13737
大庆,2020,14729
大庆,2021,14811
大庆,2022,13812
大庆,2023,13812
大庆,2024,13648
大理,2005,4212
大理,2006,4582
大理,2007,5764
大理,2008,5306
大理,2009,5929
大理,2010,6368
大理,2011,6473
大理,2012,6543
大理,2013,7713
大理,2014,7403
大理,2015,7708
大理,2016,10048
大理,2017,10965
大理,2018,10934
大理,2019,11086
大理,2020,11842
大理,2021,11747
大理,2022,10545
大理,2023,9919
大理,2024,9283
大连,2005,3500
大连,2006,4054
大连,2007,4901
大连,2008,4659
大连,2009,5592
大连,2010,6419
大连,2011,6868
大连,2012,7347
大连,2013,8062
大连,2014,7224
大连,2015,7423
大连,2016,9240
大连,2017,10998
大连,2018,12523
大连,2019,13647
大连,2020,14587
大连,2021,14742
大连,2022,14221
大连,2023,13101
大连,2024,13032
天水,2005,4473
天水,2006,5221
天水,2007,6408
天水,2008,5923
天水,2009,6493
天水,2010,7350
天水,2011,7304
天水,2012,7587
天水,2013,8308
天水,2014,8046
天水,2015,7819
天水,2016,9471
天水,2017,10857
天水,2018,11073
天水,2019,11243
天水,2020,11649
天水,2021,11663
天水,2022,10852
天水,2023,10700
天水,2024,10622
天津,2005,4200
天津,2006,5137
天津,2007,6374
天津,2008,6150
天津,2009,7220
天津,2010,7642
天津,2011,7875
天津,2012,7810
天津,2013,8304
天津,2014,7247
天津,2015,7167
天津,2016,9010
天津,2017,10006
天津,2018,10606
天津,2019,11016
天津,2020,12187
天津,2021,12486
天津,2022,11205
天津,2023,10761
天津,2024,11056
太原,2005,4635
太原,2006,5256
太原,2007,6308
太原,2008,5677
太原,2009,6597
太原,2010,7379
太原,2011,7892
太原,2012,7964
太原,2013,8257
太原,2014,7242
太原,2015,7165
太原,2016,8877
太原,2017,10209
太原,2018,11503
太原,2019,12757
太原,2020,14537
太原,2021,15964
太原,2022,14810
太原,2023,13703
太原,2024,13567
威海,2005,5165
威海,2006,5999
威海,2007,7624
威海,2008,7076
威海,2009,8149
威海,2010,9801
威海,2011,10987
威海,2012,11255
威海,2013,12404
威海,2014,11325
威海,2015,11319
威海,2016,13013
威海,2017,14452
威海,2018,14418
威海,2019,14809
威海,2020,14996
威海,2021,14810
威海,2022,12935
威海,2023,11584
威海,2024,10925
娄底,2005,4809
娄底,2006,5526
娄底,2007,6678
娄底,2008,6233
娄底,2009,8174
娄底,2010,9508
娄底,2011,9815
娄底,2012,9612
娄底,2013,10725
娄底,2014,10087
娄底,2015,9785
娄底,2016,12147
娄底,2017,14027
娄底,2018,15185
娄底,2019,16966
娄底,2020,17468
娄底,2021,17866
娄底,2022,16104
娄底,2023,14379
娄底,2024,12793
孝感,2005,3662
孝感,2006,4036
孝感,2007,4645
孝感,2008,4097
孝感,2009,4570
孝感,2010,4928
孝感,2011,5433
孝感,2012,5894
孝感,2013,7052
孝感,2014,6729
孝感,2015,7516
孝感,2016,10213
孝感,2017,11988
孝感,2018,12363
孝感,2019,13480
孝感,2020,14177
孝感,2021,14605
孝感,2022,12412
孝感,2023,11085
孝感,2024,10735
宁德,2005,4919
宁德,2006,5708
宁德,2007,7215
宁德,2008,7213
宁德,2009,9028
宁德,2010,10203
宁德,2011,10976
宁德,2012,11650
宁德,2013,13292
宁德,2014,12245
宁德,2015,12274
宁德,2016,14234
宁德,2017,15276
宁德,2018,14652
宁德,2019,13662
宁德,2020,13222
宁德,2021,12689
宁德,2022,11229
宁德,2023,10443
宁德,2024,10187
宁波,2005,3500
宁波,2006,4025
宁波,2007,5345
宁波,2008,5614
宁波,2009,7139
宁波,2010,8133
宁波,2011,8951
宁波,2012,9470
宁波,2013,11132
宁波,2014,10782
宁波,2015,11325
宁波,2016,14288
宁波,2017,16609
宁波,2018,17832
宁波,2019,20324
宁波,2020,22091
宁波,2021,23082
宁波,2022,23683
宁波,2023,24692
宁波,2024,25011
安庆,2005,3949
安庆,2006,4599
安庆,2007,5935
安庆,2008,5811
安庆,2009,7458
安庆,2010,8619
安庆,2011,8652
安庆,2012,8873
安庆,2013,9678
安庆,2014,9721
安庆,2015,9951
安庆,2016,11585
安庆,2017,12437
安庆,2018,12222
安庆,2019,12380
安庆,2020,12733
安庆,2021,13706
安庆,2022,12699
安庆,2023,11607
安庆,2024,10739
安康,2005,6012
安康,2006,6980
安康,2007,9164
安康,2008,8800
安康,2009,10391
安康,2010,12230
安康,2011,12500
安康,2012,12725
安康,2013,12652
安康,2014,11025
安康,2015,10564
安康,2016,12106
安康,2017,13642
安康,2018,13989
安康,2019,14338
安康,2020,14695
安康,2021,14703
安康,2022,12381
安康,2023,11247
安康,2024,11426
安阳,2005,3951
安阳,2006,4577
安阳,2007,5513
安阳,2008,5190
安阳,2009,6121
安阳,2010,7058
安阳,2011,7387
安阳,2012,7555
安阳,2013,8037
安阳,2014,7138
安阳,2015,7030
安阳,2016,8908
安阳,2017,10890
安阳,2018,11429
安阳,2019,11822
安阳,2020,12384
安阳,2021,13120
安阳,2022,12917
安阳,2023,11540
安阳,2024,10998
安顺,2005,4347
安顺,2006,4913
安顺,2007,5641
安顺,2008,5458
安顺,2009,6816
安顺,2010,7709
安顺,2011,8247
安顺,2012,8386
安顺,2013,8968
安顺,2014,8166
安顺,2015,8440
安顺,2016,11286
安顺,2017,12608
安顺,2018,12893
安顺,2019,13119
安顺,2020,13053
安顺,2021,13254
安顺,2022,12475
