city,income,house_price,happiness
City54,73283,24089,69.02
City55,86425,39263,74.36
City56,77763,33091,68.76
City57,88506,39738,73.77
City58,89311,41855,69.48
City59,83814,33748,71.23
City60,77575,38721,68.45
City61,79304,38097,68.83
City62,95669,32974,72.6
City63,76078,32506,67.81
City64,91888,42156,72.11
City65,96187,45112,76.03
City66,95555,44169,72.83
City67,92203,46448,71.89
City68,85813,40448,71.25
City69,93154,46560,73.54
City70,83023,42790,71
City71,82633,29300,74.96
City72,82459,32170,74.57
City73,96952,38747,75.9
City74,87019,44235,70.95
City75,83152,27044,73.96
City76,79579,32969,69.33
City77,92187,44883,71.3
City78,88556,33957,74.32
City79,95786,46056,72.35
City80,76543,27286,70.82
City81,83187,37316,70.78
City82,78072,28904,68.64
City83,79732,39417,70.26
City84,94504,45824,72.53
City85,94353,34097,75.36
City86,77688,37040,71.62
City87,87491,30713,74.26
City88,82822,38858,73.74
City89,95908,41888,76.65
City90,85743,29899,71.88
City91,92122,39799,72.67
City92,85484,42510,72.56
City93,90750,34560,71.26
City94,89703,45457,74.38
City95,96853,41633,71.96
City96,91604,38800,74.2
City97,92429,40106,74.22
City98,91269,41339,74.74
City99,87196,34743,74.93
City100,94993,32791,76.97
City101,79482,38711,68.71
City102,77410,32517,70.65
City103,94752,43302,74.96
City104,88584,34408,74.33
City105,92240,32869,71.39
City106,78404,28536,71.64
City107,78262,33917,67.54
City108,82328,32443,71.09
City109,80462,41720,70.48
City110,90228,34842,73.94
City111,73035,25652,69.69
City112,76111,36379,68.47
City113,82487,39365,73.57
City114,92553,45994,71.06
City115,81040,31382,68.96
City116,91192,40861,69.83
City117,79845,32328,73.36
City118,76883,36335,70.24
City119,79613,33485,69.74
City120,86267,31081,75.34
City121,84613,30517,72.92
City122,83041,26908,69.98
City123,91544,46140,73.92
City124,83697,38379,73.84
City125,93303,33081,72.61
City126,84068,34344,70.27
City127,92225,33530,71.73
City128,83635,38438,68.25
City129,95568,42645,75.14
City130,77730,29273,72.58
City131,80230,33443,71.4
City132,93342,41953,73.77
City133,96015,39651,72.95
City134,79190,31478,69.45
City135,87091,28918,75.28
City136,80301,39205,68.93
City137,89898,39247,72.96
City138,76199,31897,68.6
City139,79526,30188,70.08
City140,95216,42691,76.46
City141,96671,40638,77.09
City142,94024,45577,73.46
City143,87170,40996,71.87
City144,96671,44452,71.08
City145,78997,31634,68.45
City146,89162,42036,72.68
City147,96273,42229,72.59
City148,86496,34223,73.18
City149,84582,37801,71.34
City150,86252,32744,71.14
City151,73126,22842,72.29
City152,86643,35502,73.34
City153,84716,42754,69.35
City154,87978,38662,70.55
City155,86278,34931,73.06
City156,75616,27650,73.18
City157,86132,37227,70.29
City158,80948,26776,69.47
City159,79718,38183,67.7
City160,94238,37022,71.29
City161,94529,33504,73.7
City162,84380,34320,73.53
City163,84721,38335,70.44
City164,81465,34058,70.89
City165,96889,33050,72.43
City166,79060,32381,68.17
City167,74236,28274,69.41
City168,90410,35037,75.09
City169,85838,36553,71.83
City170,94917,37582,71.41
City171,79751,33027,69.13
City172,92447,42388,72.55
City173,83716,30645,69.14
City174,93418,32946,76.32
City175,95649,43880,73.7
City176,86570,28546,71.3
City177,82272,26779,73.96
City178,88950,36728,70.51
City179,77091,37933,67.63
City180,81710,33694,68.98
City181,93123,38239,73.35
City182,95739,42362,71.7
City183,87780,33580,74.17
City184,92747,45564,73.03
City185,94609,45803,74.58
City186,84055,42757,72.28
City187,74243,24187,70.88
City188,90488,37639,74.65
City189,80816,37946,71.54
City190,93397,36219,74.55
City191,87462,42846,69.11
City192,77241,38337,71.79
City193,77171,25557,72.88
City194,78915,28928,68.31
City195,90895,45953,71.67
City196,81165,40615,70.14
City197,93337,36112,76.21
City198,81720,30132,73.41
City199,90681,42417,71.29
City200,85592,43574,71.3
City201,89343,36084,72.2
City202,78903,40817,71.79
City203,76009,37774,67.08
City204,88321,43371,72.36
City205,76785,35559,67.12
City206,91362,39958,75.38
City207,89765,31667,70.8
City208,92146,44185,75.19
City209,78126,35955,67.43
City210,80345,36710,71.61
City211,85556,35508,74.01
City212,89528,39980,70.02
City213,81637,31475,70.44
City214,80482,39520,70.14
City215,91957,36665,72.03
City216,95554,45434,74.82
City217,95057,42375,74.79
City218,93922,38232,70.94
City219,83208,30874,72.34
City220,93940,44522,74.93
City221,88954,37383,73.81
City222,91208,36320,75.69
City223,74880,35932,68.72
City224,87472,43693,71.17
City225,94091,43086,71.98
City226,79289,29799,72.96
City227,96214,38906,74.3
City228,95315,44000,74.11
City229,73763,23796,70.24
City230,76376,29170,72.81
City231,76826,28518,68.22
City232,92911,44613,75.39
City233,75534,28597,67.56
City234,75736,30821,68.6
City235,73983,28877,68.18
City236,77497,33967,71.87
City237,85012,31681,75.16
City238,91341,42231,74.81
City239,94690,42053,76.28
City240,80472,39946,70.83
City241,80761,33407,68.88
City242,92361,38101,75.89
City243,75454,38602,69.47
City244,96206,46747,72.73
City245,83532,40776,68.83
City246,89591,30824,71.25
City247,93322,33257,73.72
City248,87347,31105,72.41
City249,81850,39994,69.37
City250,73567,34989,71.41
City251,82639,31856,70.39
City252,76565,35992,66.9
City253,79053,36617,69.05
City254,82060,28668,69.17
City255,88042,39292,74.2
City256,96682,38257,72.31
City257,96910,36137,75.22
City258,96663,34326,75.51
City259,85169,41178,68.68
City260,76661,35269,69.09
City261,90962,37351,73.1
City262,93045,39293,76.33
City263,85417,38636,72.45
City264,96748,42612,74.24
